District name,priority_score,deceased,active,recovered
Ajmer,7615.3625936049075,219,32,0.9577084567222269
Alwar,9846.563630171506,78,10,0.9443983205008883
Azamgarh,0.8910943121993918,0,0,1.0
Ballia,0.8970649189377702,0,0,1.0
Bankura,5246.648617092091,90,20,0.9708493738895
Barmer,2275.190267348083,51,4,0.9872874185633302
Bhilwara,4473.713417697522,39,33,0.9753812716811913
Birbhum,4440.2305879991245,86,19,0.975291374058719
Bulandshahr,0.8938994691457476,0,0,1.0
Chennai,1.1228431719615366,0,0,1.0
Chitradurga,6570.4262214946075,68,8,0.9627691640578729
Churu,2004.5018474229216,41,6,0.9888976436246721
Coimbatore,0.9782568644300892,0,0,1.0
Cuddalore,0.9111470276774133,0,0,1.0
Cuttack,0.8910289864147697,0,0,1.0
Davanagere,10118.526306684571,264,16,0.9426373847195194
Dindigul,0.9285733057072321,0,0,1.0
Erode,0.9007361046725869,0,0,1.0
Ganjam,0.95723363402537,0,0,1.0
Gorakhpur,0.9133359684079404,0,0,1.0
Hassan,12868.10098161697,393,18,0.9273547888992301
Haveri,5034.25062840202,190,8,0.9715526905829597
Hooghly,13147.355409555397,461,40,0.9273098400879939
Jaipur,0.9059335854543447,0,0,1.0
Jaunpur,0.9100714519971241,0,0,1.0
Jodhpur,0.9199581347711352,0,0,1.0
Kancheepuram,0.9197192856782346,0,0,1.0
Kangra,1.0457069035326296,0,0,1.0
Kanpur Nagar,0.92225980828987,0,0,1.0
Lucknow,1.0530152278532847,0,0,1.0
Madurai,0.9220521008625933,0,0,1.0
Mandi,0.9817338164457903,0,0,1.0
Mandya,8932.321441974334,147,11,0.9492739444961502
Mayurbhanj,0.9570417035664635,0,0,1.0
Munger,0.8914183387537014,0,0,1.0
Murshidabad,5493.495343892666,147,14,0.9694295202639818
Nagapattinam,0.9040622877657496,0,0,1.0
Nagaur,1.0012045919367454,0,0,1.0
Nalanda,0.9015136483932282,0,0,1.0
Namakkal,0.9115546876713437,0,0,1.0
New Delhi,1.0355123476905963,0,0,1.0
Pali,0.9013129299731483,0,0,1.0
Paschim Medinipur,9133.218295221734,302,17,0.9491576063964803
