,DISTRICT,ST_NM,ST_CEN_CD,DT_CEN_CD,censuscode
0,Adilabad,Andhra Pradesh,28,1,532
1,Agra,Uttar Pradesh,9,15,146
2,Ahmedabad,Gujarat,24,7,474
3,Ahmednagar,Maharashtra,27,26,522
4,Aizawl,Mizoram,15,3,283
5,Ajmer,Rajasthan,8,21,119
6,Akola,Maharashtra,27,5,501
7,Alappuzha,Kerala,32,11,598
8,Aligarh,Uttar Pradesh,9,12,143
9,Alirajpur,Madhya Pradesh,23,48,465
10,Prayagraj,Uttar Pradesh,9,44,175
11,Almora,Uttarakhand,5,9,64
12,Alwar,Rajasthan,8,6,104
13,Ambala,Haryana,6,2,70
14,Ambedkar Nagar,Uttar Pradesh,9,47,178
15,Amravati,Maharashtra,27,7,503
16,Amreli,Gujarat,24,13,480
17,Amritsar,Punjab,3,15,49
18,Anand,Gujarat,24,15,482
19,Anantapur,Andhra Pradesh,28,22,553
20,Anantnag,Jammu & Kashmir,1,14,14
21,Anjaw,Arunanchal Pradesh,12,16,260
22,Angul,Odisha,21,15,384
23,Anuppur,Madhya Pradesh,23,44,461
24,Araria,Bihar,10,7,209
25,Ariyalur,Tamil Nadu,33,15,616
26,Ashoknagar,Madhya Pradesh,23,42,459
27,Auraiya,Uttar Pradesh,9,31,162
28,Aurangabad,Bihar,10,33,235
29,Aurangabad,Maharashtra,27,19,515
30,Azamgarh,Uttar Pradesh,9,60,191
31,Budgam,Jammu & Kashmir,1,2,2
32,Bagalkote,Karnataka,29,2,556
33,Bageshwar,Uttarakhand,5,8,63
34,Baghpat,Uttar Pradesh,9,8,139
35,Bahraich,Uttar Pradesh,9,49,180
36,Baksa,Assam,18,25,324
37,Balaghat,Madhya Pradesh,23,40,457
38,Balangir,Odisha,21,24,393
39,Balasore,Odisha,21,8,377
40,Ballia,Uttar Pradesh,9,62,193
41,Balrampur,Uttar Pradesh,9,51,182
42,Banaskantha,Gujarat,24,2,469
43,Banda,Uttar Pradesh,9,39,170
44,Bandipora,Jammu & Kashmir,1,9,9
45,Bengaluru Rural,Karnataka,29,29,583
46,Bengaluru Urban,Karnataka,29,18,572
47,Banka,Bihar,10,23,225
48,Bankura,West Bengal,19,13,339
49,Banswara,Rajasthan,8,27,125
50,Barabanki,Uttar Pradesh,9,45,176
51,Bargarh,Odisha,21,1,370
52,Baramulla,Jammu & Kashmir,1,8,8
53,Baran,Rajasthan,8,30,128
54,Purba Bardhaman,West Bengal,19,9,335
55,Bareilly,Uttar Pradesh,9,19,150
56,Barmer,Rajasthan,8,17,115
57,Barnala,Punjab,3,20,54
58,Barpeta,Assam,18,4,303
59,Barwani,Madhya Pradesh,23,24,441
60,Bastar,Chhattisgarh,22,15,414
61,Basti,Uttar Pradesh,9,54,185
62,Bathinda,Punjab,3,12,46
63,Boudh,Odisha,21,22,391
64,Begusarai,Bihar,10,20,222
65,Belagavi,Karnataka,29,1,555
66,Ballari,Karnataka,29,11,565
67,Betul,Madhya Pradesh,23,30,447
68,Bhadrak,Odisha,21,9,378
69,Bhagalpur,Bihar,10,22,224
70,Bhandara,Maharashtra,27,10,506
71,Bharatpur,Rajasthan,8,7,105
72,Bharuch,Gujarat,24,21,488
73,Bhavnagar,Gujarat,24,14,481
74,Bhilwara,Rajasthan,8,24,122
75,Bhind,Madhya Pradesh,23,3,420
76,Bhiwani,Haryana,6,13,81
77,Bhojpur,Bihar,10,29,231
78,Bhopal,Madhya Pradesh,23,27,444
79,Beed,Maharashtra,27,27,523
80,Bidar,Karnataka,29,4,558
81,Bijapur,Chhattisgarh,22,18,417
82,Bijapur,Karnataka,29,3,557
83,Bijnor,Uttar Pradesh,9,3,134
84,Bikaner,Rajasthan,8,3,101
85,Bilaspur,Chhattisgarh,22,7,406
86,Bilaspur,Himachal Pradesh,2,8,30
87,Birbhum,West Bengal,19,8,334
88,Bishnupur,Manipur,14,4,275
89,Bokaro,Jharkhand,20,10,355
90,Bongaigaon,Assam,18,20,319
91,Budaun,Uttar Pradesh,9,18,149
92,Bulandshahr,Uttar Pradesh,9,11,142
93,Buldhana,Maharashtra,27,4,500
94,Bundi,Rajasthan,8,23,121
95,Burhanpur,Madhya Pradesh,23,50,467
96,Buxar,Bihar,10,30,232
97,Cachar,Assam,18,17,316
98,Central Delhi,NCT of Delhi,7,6,95
99,Chamba,Himachal Pradesh,2,1,23
100,Chamoli,Uttarakhand,5,2,57
101,Champawat,Uttarakhand,5,10,65
102,Champhai,Mizoram,15,4,284
103,Chamarajanagara,Karnataka,29,24,578
104,Chandauli,Uttar Pradesh,9,65,196
105,Chandel,Manipur,14,9,280
106,Chandigarh,Chandigarh,4,1,55
107,Chandrapur,Maharashtra,27,13,509
108,Changlang,Arunanchal Pradesh,12,9,253
109,Chatra,Jharkhand,20,2,347
110,Chennai,Tamil Nadu,33,2,603
111,Chhatarpur,Madhya Pradesh,23,8,425
112,Chhindwara,Madhya Pradesh,23,38,455
113,Chikkaballapura,Karnataka,29,28,582
114,Chikkamagaluru,Karnataka,29,16,570
115,Chirang,Assam,18,21,320
116,Chitradurga,Karnataka,29,12,566
117,Chitrakoot,Uttar Pradesh,9,40,171
118,Chittorgarh,Rajasthan,8,28,126
119,Chittoor,Andhra Pradesh,28,23,554
120,Churachandpur,Manipur,14,3,274
121,Churu,Rajasthan,8,4,102
122,Coimbatore,Tamil Nadu,33,31,632
123,Cuddalore,Tamil Nadu,33,16,617
124,Y.S.R. Kadapa,Andhra Pradesh,28,20,551
125,Cuttack,Odisha,21,12,381
126,Dadra and Nagar Haveli,Dadara & Nagar Havelli,26,1,496
127,Dakshin Bastar Dantewada,Chhattisgarh,22,17,416
128,Dakshin Dinajpur,West Bengal,19,5,331
129,Dakshina Kannada,Karnataka,29,21,575
130,Daman,Daman & Diu,25,2,495
131,Damoh,Madhya Pradesh,23,11,428
132,Darbhanga,Bihar,10,13,215
133,Darjeeling,West Bengal,19,1,327
134,Darrang,Assam,18,26,325
135,Data Not Available,Jammu & Kashmir,99,99,0
136,Datia,Madhya Pradesh,23,5,422
137,Davanagere,Karnataka,29,13,567
138,Deogarh,Odisha,21,4,373
139,Dehradun,Uttarakhand,5,5,60
140,Deoghar,Jharkhand,20,5,350
141,Deoria,Uttar Pradesh,9,59,190
142,Dewas,Madhya Pradesh,23,20,437
143,Dhalai,Tripura,16,3,291
144,Dhamtari,Chhattisgarh,22,13,412
145,Dhanbad,Jharkhand,20,9,354
146,Dhar,Madhya Pradesh,23,21,438
147,Dharmapuri,Tamil Nadu,33,29,630
148,Dharwad,Karnataka,29,8,562
149,Dholpur,Rajasthan,8,8,106
150,Dhemaji,Assam,18,9,308
151,Dhenkanal,Odisha,21,14,383
152,Dhubri,Assam,18,2,301
153,Dhule,Maharashtra,27,2,498
154,Upper Dibang Valley,Arunanchal Pradesh,12,13,257
155,Dibrugarh,Assam,18,11,310
156,Dindigul,Tamil Nadu,33,11,612
157,Dindori,Madhya Pradesh,23,36,453
158,Diu,Daman & Diu,25,1,494
159,Doda,Jammu & Kashmir,1,16,16
160,Dahod,Gujarat,24,18,485
161,Dumka,Jharkhand,20,17,362
162,Dungarpur,Rajasthan,8,26,124
163,Durg,Chhattisgarh,22,10,409
164,Dimapur,Nagaland,13,5,265
165,East Delhi,NCT of Delhi,7,4,93
166,East Sikkim,Sikkim,11,4,244
167,East Garo Hills,Meghalaya,17,2,294
168,East Godavari,Andhra Pradesh,28,14,545
169,East Kameng,Arunanchal Pradesh,12,3,247
170,East Khasi Hills,Meghalaya,17,6,298
171,Khandwa,Madhya Pradesh,23,49,466
